FULL,ABBR
BURGLARY:FORCEDENTRY-NONRESIDENCE,BURGLARY/FORCED ENTRY
NOPROOFOFINSURANCE,NO INSURANCE
MOTORVEHASSTOLENPROP:POSS/RECEIVESTOLENVEHICLE,POSS STOLEN VEHICLE
RETAILFRAUD:MISREPRESENT1STDEGREE,RETAIL FRAUD
FAMILY/NONSUPPORT/-NONPAYMENTALIMONY,NONSUPPORT/ALIMONY
OBSTRUCTINGJUSTICE/CONTEMPTOFCOURT,CONTEMPT OF COURT
NARCOTICEQUIP:VIOLATIONS,NARCOTICS EQUIPMENT
FAMILY/ABUSE/NEGLECT-NEGLECTCHILD,FAMILY ABUSE/NEGLECT
"VCSA:NARC.DRUGS,FRAUDPROC.OF",VCSA NARCOTICS
KIDNAPADULT,KIDNAPPING OF ADULT
ROBBERY:STREET-GUN,ROBBERY WITH GUN
STOLENPROPERTY:CONCEALING,CONCEAL STOLEN PROPERTY
FRAUD:FALSESTATEMENTS,FALSE STATEMENTS
ROBBERY:STREET-OTHERWEAPON,ROBBERY
STOLENPROPERTY:RECEIVING,RECEIVING STOLEN PROPERTY
SEXOFFENSE:BESTIALITY,BESTIALITY
LIQUORVIOLATIONS/TRANSPORT(OPENCONTAINER),OPEN CONTAINER
OBSTRUCTPOLICE/WITNESS-DISSUADING,DISSUADING A WITNESS
ROBBERY:STREET-STRONGARM,ROBBERY
CRIMINALSEXUALCONDUCT2ND-FORCIBLECONTACT,CRIM SEX CONDUCT/FORCIBLE
OBSCENITY/OBSCENITY(OTHER),OBSCENITY
MOTORVEHICLETHEFT:STOLEN(OTHER),MOTOR VEHICLE THEFT
OWI:LONGTERMINCAP.INJURY(FELONY),OWI WITH LONG TERM INJURY
ESCAPE-FLIGHT/ESCAPEJAIL,ESCAPE
NEGHOMVEHICLE:NEGLIGENTHOMICIDE-VEHICLE,NEGLICENT VEHICLE HOMICIDE
ASSAULT&BATTERY/SIMPLEASSAULTORDO,ASSAULT AND BATTERY
OBSTRUCTPOLICE/MAKINGFALSEPOLICEREPORT,MAKING FALSE REPORT
SEXOFFENSE:GROSSINDECENCY,GROSS INDECENCY
