HOMICIDE-FELONYMURDER
HOMICIDE-OPENMURDER-STATUTORYSHORTFORM
CSC1ST/3CTS
CSC-1STDEGREE(ACCOMPLICES)
CSC1ST-PENETRATIONORAL/ANAL
CSC1ST-PENETRATIONPENIS/VAGINA
CSC2ND-FORCIBLECONTACT
CSC-3RDDEGREE
CSC3RD-PENETRATIONORAL/ANAL
CSC3RD-PENETRATIONPENIS/VAGINA
CSC4TH-FORCIBLECONTACT
CSC-ASSAULTWITHINTENTTOCOMMITSEXUALPENETRATION
CSC-FIRSTDEGREE(MULTIPLEVARIABLES)
CSC-FIRSTDEGREE(PERSONALINJURY)
CSC-FIRSTDEGREE(PERSONUNDERTHIRTEEN)
CSC-FIRSTDEGREE(RELATIONSHIP)
CSC-FIRSTDEGREE(WEAPONUSED)
CSC-FOURTHDEGREE(FORCEORCOERCION)
CSC-FOURTHDEGREE(INCAPACITATEDVICTIM)
CSC-FOURTHDEGREE(MULTIPLEVARIABLES)
CSC-FOURTHDEGREE-VICTIMBETWEEN13-16
CSC-GROSSINDECENCY-MALE&FEMALE-COMMITTING/PROCURING
CSC-GROSSINDECENCY-MALES-COMMITTING/PROCURING
CSC-SECONDDEGREE(MULTIPLEVARIABLES)
CSC-SECONDDEGREE(PERSONUNDERTHIRTEEN)
CSC-SECONDDEGREE(RELATIONSHIP)
CSC-THIRDDEGREE(INCEST)
CSC-THIRDDEGREE(MULTIPLEVARIABLES)
CSC-THIRDDEGREE(PERSONTHIRTEENTHROUGHFIFTEEN)
KIDNAP-ADULT
SEXOFFENDERS-DIVULGINGREGISTRATIONINFORMATION
SEXOFFENDERS-FAILURETOCOMPLYWITHREPORTINGDUTIES
SEXOFFENDERS-FAILURETOREGISTER
SEXOFFENDERS-FAILURETOREGISTER-SECONDOFFENSENOTICE
SEXOFFENDERS-FAILURETOREGISTERTHIRDORSUBSEQUENTOFFENSENOTICE
SEXOFFENSE-SEXUALLYDELINQUENTPERSON
SOR:FAILTOREG2ND
STALKING-AGGRAVATED
STALKING
VCSA-COCAINE-SELL/DELIVERY
VCSA-DEL/MANF(NARCORCOC)50-449GRAMS
VCSA-DEL/MANF5-45KILOGRAMSOFMARIJ
VCSA-DEL/MANFMARIJUANA
VCSA-DELIVERY/MANUFACTURE(NARCOTICORCOCAINE)LESSTHAN50GRAMS
VCSA-MARIJUANA-SELL/DELIVERY
VCSA-POSSW/ITODELONSCHOOLPROP(NARCORCOCL/T50GRAMS)
WITNESSES-BRIBING/INTIMIDATING/INTERFERING
AGGRAVATEDINDECENTEXPOSURE(FELONY)
AIDS-SEXUALPENETRATIONWITHUNINFORMEDPARTNER
ARSON-DWELLINGHOUSE
ARSON-DWELLINGHOUSECURTILAGE
"ARSON-PERSONALPROPERTY-$1,000.00ORMOREBUTLESSTHAN$20,000.00"
ASSAULT-AGGR.FEL.ASSAULT-FAMILY-OTHERWEAPON
ASSAULT-AGGRAVATED
ASSAULT-W/DANGEROUSWEAPON-FELONYASSAULT
ASSAULT-W/INTTODOGREATBODILYHARMLESSTHANMURDER
ASSAULT-WITHINTENTTOMURDER
ASSAULT-WITHINTMURDER
ASSAULT-WITHINTTOROB-ARMED
ASSLT/RESIST/OBSTPOLICEOFFICER
BURGLARY
BURGLARY/GEORGIA
BW:FTAOWI3RD
CAR-CARJACKING
CHILDABUSE-2NDDEGREE
CHILDABUSE-3RDDEGREE
CHILDABUSE-4THDEGREE
CHILDNEGLECT/FOC
CHILDREN-DISTRIBUTINGOBSCENEMATTERTO
CONSPIRACY
DOMESTICVIOLENCE
DOMESTICVIOLENCE-2NDOFFENSENOTICE
DOMESTICVIOLENCE-AGGRAVATED
DOMESTICVIOLENCE-PERSONALPROTECTIONORDER
DOMESTICVIOLENCE-THIRDOFFENSENOTICE
"EMBEZZLEMENT-AGENTORTRUSTEE$20,000.00ORMORE"
ESCAPE-LAWFULCUSTODY
EXTORTION
